DATE,Deposits_Billions
25/09/1985,1719.405
02/10/1985,1736.1591
09/10/1985,1720.8499
16/10/1985,1739.3568
23/10/1985,1733.7127
30/10/1985,1730.3076
06/11/1985,1732.0586
13/11/1985,1743.9865
20/11/1985,1737.6022
27/11/1985,1756.0729
04/12/1985,1755.1578
11/12/1985,1761.7279
18/12/1985,1754.0816
25/12/1985,1765.8553
01/01/1986,1768.659
08/01/1986,1763.4091
15/01/1986,1765.7804
22/01/1986,1768.1285
29/01/1986,1752.8059
05/02/1986,1772.1771
12/02/1986,1761.0513
19/02/1986,1776.4494
26/02/1986,1763.3349
05/03/1986,1780.9399
12/03/1986,1778.043
19/03/1986,1779.3427
26/03/1986,1788.808
02/04/1986,1791.0569
09/04/1986,1789.1815
16/04/1986,1791.3293
23/04/1986,1798.767
30/04/1986,1806.0406
07/05/1986,1799.3349
14/05/1986,1804.9721
21/05/1986,1801.9617
28/05/1986,1812.35
04/06/1986,1808.6906
11/06/1986,1815.7644
18/06/1986,1806.5108
25/06/1986,1826.8583
02/07/1986,1824.8824
09/07/1986,1831.1233
16/07/1986,1837.3726
23/07/1986,1840.6279
30/07/1986,1834.583
06/08/1986,1844.5322
13/08/1986,1842.7464
20/08/1986,1855.8745
27/08/1986,1866.276
03/09/1986,1868.2428
10/09/1986,1852.2051
17/09/1986,1866.6039
24/09/1986,1863.593
01/10/1986,1885.7948
08/10/1986,1863.2019
15/10/1986,1890.2345
22/10/1986,1869.2796
29/10/1986,1867.2866
05/11/1986,1880.6142
12/11/1986,1902.7421
19/11/1986,1876.3132
26/11/1986,1908.3908
03/12/1986,1900.2827
10/12/1986,1912.3027
17/12/1986,1906.3311
24/12/1986,1938.0138
31/12/1986,1951.4835
07/01/1987,1925.0302
14/01/1987,1908.2364
21/01/1987,1921.1831
28/01/1987,1923.5979
04/02/1987,1920.0035
11/02/1987,1913.0965
18/02/1987,1924.7911
25/02/1987,1918.6716
04/03/1987,1930.1976
11/03/1987,1930.1811
18/03/1987,1928.3661
25/03/1987,1935.3798
01/04/1987,1953.7927
08/04/1987,1932.2024
15/04/1987,1969.1909
22/04/1987,1945.9467
29/04/1987,1937.8976
06/05/1987,1940.2754
13/05/1987,1942.1001
20/05/1987,1954.1393
27/05/1987,1962.4867
03/06/1987,1942.1665
10/06/1987,1956.7066
17/06/1987,1942.3336
24/06/1987,1965.8784
01/07/1987,1968.0945
08/07/1987,1943.2847
15/07/1987,1969.1843
22/07/1987,1955.2396
29/07/1987,1950.0266
05/08/1987,1964.5401
12/08/1987,1964.7359
19/08/1987,1959.5985
26/08/1987,1967.7552
02/09/1987,1951.1185
09/09/1987,1963.1817
16/09/1987,1971.3128
23/09/1987,1965.8651
30/09/1987,1975.5698
07/10/1987,1962.0354
14/10/1987,1977.1585
21/10/1987,1983.095
28/10/1987,1996.8239
04/11/1987,1992.1054
11/11/1987,1985.1916
18/11/1987,1977.5612
25/11/1987,1989.0266
02/12/1987,1979.176
09/12/1987,1985.3039
16/12/1987,1993.548
23/12/1987,1998.4071
30/12/1987,1965.2952
06/01/1988,1996.5842
13/01/1988,1994.3143
20/01/1988,2006.497
27/01/1988,2002.086
03/02/1988,2004.4833
10/02/1988,2006.5992
17/02/1988,2017.8684
24/02/1988,1995.0008
02/03/1988,2011.4479
09/03/1988,2006.1907
16/03/1988,2025.0894
23/03/1988,2025.2525
30/03/1988,2008.163
06/04/1988,2024.6841
13/04/1988,2015.5532
20/04/1988,2029.2462
27/04/1988,2034.0409
04/05/1988,2044.2414
11/05/1988,2045.518
18/05/1988,2040.8573
25/05/1988,2041.6386
01/06/1988,2068.6286
08/06/1988,2051.8077
15/06/1988,2080.3623
22/06/1988,2064.228
29/06/1988,2041.3238
06/07/1988,2076.4182
13/07/1988,2060.4025
20/07/1988,2069.6675
27/07/1988,2078.5328
03/08/1988,2074.0314
10/08/1988,2075.6633
17/08/1988,2071.0125
24/08/1988,2084.5426
31/08/1988,2070.1268
07/09/1988,2082.5269
14/09/1988,2081.8475
21/09/1988,2083.889
28/09/1988,2070.361
05/10/1988,2092.1764
12/10/1988,2097.477
19/10/1988,2085.3578
26/10/1988,2099.4029
02/11/1988,2103.2773
09/11/1988,2091.6355
16/11/1988,2111.452
23/11/1988,2113.5095
30/11/1988,2110.8961
07/12/1988,2117.9929
14/12/1988,2117.2653
21/12/1988,2112.5306
28/12/1988,2108.4964
04/01/1989,2130.3256
11/01/1989,2127.9428
18/01/1989,2121.6698
25/01/1989,2123.123
01/02/1989,2139.4631
08/02/1989,2123.0499
15/02/1989,2132.3765
22/02/1989,2131.8791
01/03/1989,2165.0026
08/03/1989,2131.3243
15/03/1989,2167.5329
22/03/1989,2144.6115
29/03/1989,2137.6564
05/04/1989,2157.699
12/04/1989,2149.5851
19/04/1989,2149.6591
26/04/1989,2161.0786
03/05/1989,2152.6932
10/05/1989,2154.7104
17/05/1989,2154.1042
24/05/1989,2158.484
31/05/1989,2163.6414
07/06/1989,2158.5868
14/06/1989,2151.8753
21/06/1989,2161.1324
28/06/1989,2151.7725
05/07/1989,2184.4234
12/07/1989,2177.4169
19/07/1989,2173.428
26/07/1989,2187.667
02/08/1989,2185.9098
09/08/1989,2186.1028
16/08/1989,2188.5418
23/08/1989,2191.4329
30/08/1989,2176.513
06/09/1989,2199.9028
13/09/1989,2189.6359
20/09/1989,2204.0404
27/09/1989,2199.15
04/10/1989,2211.2694
11/10/1989,2215.61
18/10/1989,2214.5402
25/10/1989,2229.2668
01/11/1989,2244.9538
08/11/1989,2221.4081
15/11/1989,2242.6054
22/11/1989,2237.2602
29/11/1989,2213.9227
06/12/1989,2234.6499
13/12/1989,2233.893
20/12/1989,2246.2102
27/12/1989,2243.8471
03/01/1990,2252.8553
10/01/1990,2256.6027
17/01/1990,2265.0411
24/01/1990,2247.5689
31/01/1990,2254.7989
07/02/1990,2254.7892
14/02/1990,2248.2352
21/02/1990,2264.6417
28/02/1990,2265.7692
07/03/1990,2255.2389
14/03/1990,2265.6789
21/03/1990,2261.7028
28/03/1990,2268.8783
04/04/1990,2274.1768
11/04/1990,2275.887
18/04/1990,2266.1358
25/04/1990,2278.8627
02/05/1990,2274.7866
09/05/1990,2275.095
16/05/1990,2283.7282
23/05/1990,2288.701
30/05/1990,2275.5626
06/06/1990,2287.795
13/06/1990,2287.4322
20/06/1990,2297.818
27/06/1990,2304.5171
04/07/1990,2312.5575
11/07/1990,2306.012
18/07/1990,2306.1719
25/07/1990,2318.3121
01/08/1990,2326.8051
08/08/1990,2309.6838
15/08/1990,2338.6191
22/08/1990,2318.7678
29/08/1990,2302.6504
05/09/1990,2329.4234
12/09/1990,2309.6124
19/09/1990,2319.954
26/09/1990,2322.9183
03/10/1990,2326.5572
10/10/1990,2331.2416
17/10/1990,2306.5159
24/10/1990,2325.3665
31/10/1990,2324.1127
07/11/1990,2314.7833
14/11/1990,2333.9966
21/11/1990,2329.7807
28/11/1990,2310.151
05/12/1990,2333.5527
12/12/1990,2334.4227
19/12/1990,2329.938
26/12/1990,2343.3488
02/01/1991,2357.2256
09/01/1991,2349.21
16/01/1991,2337.7146
23/01/1991,2371.3139
30/01/1991,2352.9659
06/02/1991,2373.8486
13/02/1991,2371.1716
20/02/1991,2388.0629
27/02/1991,2378.9038
06/03/1991,2384.617
13/03/1991,2396.7472
20/03/1991,2394.9241
27/03/1991,2411.4044
03/04/1991,2395.9939
10/04/1991,2405.0977
17/04/1991,2397.5542
24/04/1991,2409.6798
01/05/1991,2431.0304
08/05/1991,2409.8
15/05/1991,2436.7886
22/05/1991,2420.1699
29/05/1991,2410.0693
05/06/1991,2422.6764
12/06/1991,2431.2287
19/06/1991,2419.5558
26/06/1991,2445.7005
03/07/1991,2421.7723
10/07/1991,2429.9525
17/07/1991,2428.1484
24/07/1991,2447.2076
31/07/1991,2446.79
